area_sqft,bedrooms,bathrooms,floors,parking,location,price
767,1,1,1,2,Pune,7214000
2822,5,4,1,1,Mumbai,53609000
2464,3,2,1,2,Pune,22726000
1817,3,3,3,2,Mumbai,34872000
1799,3,2,2,1,Bengaluru,19945000
3076,4,3,3,2,Pune,28831000
757,1,1,2,1,Mumbai,14605000
2592,4,3,1,2,Nashik,15462000
1104,1,1,2,0,Pune,10288000
782,1,1,1,2,Mumbai,14499000
2079,4,3,3,1,Hyderabad,17951000
3427,5,4,1,2,Pune,31534000
2707,4,3,2,1,Pune,25369000
2784,4,4,3,2,Pune,26463000
2653,4,3,2,0,Nashik,15726000
2858,5,4,2,0,Pune,27340000
2040,4,4,2,1,Pune,19941000
884,2,2,3,2,Pune,9089000
3020,5,4,1,2,Pune,28741000
1851,3,3,2,1,Bengaluru,20378000
2001,3,3,3,1,Pune,19108000
1612,2,2,2,1,Bengaluru,17817000
1047,2,2,2,2,Bengaluru,11931000
3281,5,4,1,1,Hyderabad,27609000
2845,5,4,1,1,Pune,27152000
2432,3,3,3,2,Hyderabad,20251000
1707,2,2,2,0,Bengaluru,18613000
2969,4,4,1,2,Pune,28011000
2136,3,2,2,0,Hyderabad,17695000
1830,3,3,2,0,Hyderabad,15384000
1851,3,2,2,2,Pune,17469000
1181,1,1,3,2,Nashik,6921000
776,1,1,1,2,Mumbai,15054000
2164,4,4,2,2,Bengaluru,24101000
3164,4,4,2,1,Nashik,18479000
691,2,1,3,1,Mumbai,13478000
3075,5,4,1,0,Hyderabad,25661000
2983,4,4,1,0,Mumbai,56021000
1330,2,1,2,0,Hyderabad,11686000
2395,4,3,2,0,Bengaluru,25806000
995,2,1,3,1,Pune,10176000
2775,4,3,2,2,Mumbai,52487000
2602,5,4,3,2,Mumbai,50089000
1563,3,3,2,1,Pune,15315000
703,2,1,1,2,Pune,7387000
3413,5,4,1,2,Mumbai,64346000
1837,3,3,3,2,Pune,18228000
3180,5,4,1,1,Pune,29716000
2534,3,2,3,0,Hyderabad,21038000
2835,4,3,1,2,Hyderabad,23501000
2780,5,4,1,0,Hyderabad,23485000
1084,1,1,1,1,Mumbai,20044000
1592,2,2,2,0,Nashik,9374000
1900,2,1,2,2,Bengaluru,20761000
1993,4,3,3,1,Pune,19371000
